index,station_number,datee,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,date,store_nbr,item_nbr,units
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,1,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,2,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,3,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,4,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,5,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,6,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,7,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,8,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,9,29
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,10,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,11,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,12,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,13,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,14,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,15,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,16,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,17,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,18,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,19,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,20,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,21,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,22,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,23,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,24,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,25,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,26,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,27,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,28,2
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,29,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,30,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,31,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,32,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,33,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,34,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,35,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,36,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,37,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,38,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,39,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,40,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,41,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,42,0
0,1,2012-01-01,52.0,31.0,42.0,0.0,36.0,40.0,23.0,0.0,0.0,0.0,RA FZFG BR,0.0,0.05,29.78,29.92,3.6,20.0,4.6,01-01-2012,1,43,0
